index,TYPE
96056,Break and Enter Residential/Other
442504,Other Theft
210157,Mischief
543861,Theft from Vehicle
810046,Vehicle Collision or Pedestrian Struck (with Injury)
245722,Offence Against a Person
426888,Other Theft
297649,Other Theft
426907,Other Theft
168992,Mischief
139358,Mischief
214237,Offence Against a Person
658333,Theft from Vehicle
294412,Other Theft
803305,Vehicle Collision or Pedestrian Struck (with Injury)
403229,Other Theft
662503,Theft from Vehicle
101113,Break and Enter Residential/Other
720994,Theft of Bicycle
519330,Theft from Vehicle
709442,Theft of Bicycle
635088,Theft from Vehicle
785222,Vehicle Collision or Pedestrian Struck (with Injury)
790443,Vehicle Collision or Pedestrian Struck (with Injury)
313531,Other Theft
610071,Theft from Vehicle
141715,Mischief
183369,Mischief
18584,Break and Enter Commercial
569309,Theft from Vehicle
745145,Theft of Vehicle
206071,Mischief
300440,Other Theft
597882,Theft from Vehicle
11627,Break and Enter Commercial
145322,Mischief
593322,Theft from Vehicle
742534,Theft of Vehicle
424122,Other Theft
686099,Theft from Vehicle
324650,Other Theft
167365,Mischief
7022,Break and Enter Commercial
8405,Break and Enter Commercial
577077,Theft from Vehicle
493771,Theft from Vehicle
770251,Theft of Vehicle
64721,Break and Enter Residential/Other
461331,Other Theft
352765,Other Theft
672380,Theft from Vehicle
559788,Theft from Vehicle
138303,Mischief
647282,Theft from Vehicle
699767,Theft from Vehicle
169717,Mischief
107188,Break and Enter Residential/Other
14384,Break and Enter Commercial
323618,Other Theft
628352,Theft from Vehicle
11130,Break and Enter Commercial
287124,Other Theft
206197,Mischief
99846,Break and Enter Residential/Other
704943,Theft from Vehicle
230776,Offence Against a Person
706838,Theft of Bicycle
312268,Other Theft
727208,Theft of Bicycle
232583,Offence Against a Person
694616,Theft from Vehicle
590098,Theft from Vehicle
359053,Other Theft
800790,Vehicle Collision or Pedestrian Struck (with Injury)
597443,Theft from Vehicle
576052,Theft from Vehicle
586289,Theft from Vehicle
31981,Break and Enter Commercial
22261,Break and Enter Commercial
568158,Theft from Vehicle
244736,Offence Against a Person
639063,Theft from Vehicle
563832,Theft from Vehicle
139707,Mischief
3985,Break and Enter Commercial
752447,Theft of Vehicle
680366,Theft from Vehicle
729790,Theft of Bicycle
171450,Mischief
543988,Theft from Vehicle
166786,Mischief
290088,Other Theft
321128,Other Theft
92166,Break and Enter Residential/Other
71916,Break and Enter Residential/Other
338980,Other Theft
731772,Theft of Bicycle
198693,Mischief
80885,Break and Enter Residential/Other
217001,Offence Against a Person
410162,Other Theft
383627,Other Theft
392140,Other Theft
592114,Theft from Vehicle
261741,Offence Against a Person
177312,Mischief
373382,Other Theft
305760,Other Theft
215963,Offence Against a Person
455669,Other Theft
712370,Theft of Bicycle
380496,Other Theft
279159,Offence Against a Person
177879,Mischief
667505,Theft from Vehicle
526657,Theft from Vehicle
233656,Offence Against a Person
587846,Theft from Vehicle
9667,Break and Enter Commercial
247800,Offence Against a Person
670323,Theft from Vehicle
709779,Theft of Bicycle
531017,Theft from Vehicle
303379,Other Theft
563317,Theft from Vehicle
623678,Theft from Vehicle
206571,Mischief
495912,Theft from Vehicle
290077,Other Theft
228783,Offence Against a Person
66242,Break and Enter Residential/Other
629778,Theft from Vehicle
573969,Theft from Vehicle
429617,Other Theft
190717,Mischief
346797,Other Theft
714403,Theft of Bicycle
544387,Theft from Vehicle
717476,Theft of Bicycle
140849,Mischief
95021,Break and Enter Residential/Other
683154,Theft from Vehicle
101483,Break and Enter Residential/Other
489849,Theft from Vehicle
558528,Theft from Vehicle
216750,Offence Against a Person
431915,Other Theft
395158,Other Theft
224095,Offence Against a Person
175906,Mischief
472574,Other Theft
302953,Other Theft
389369,Other Theft
437374,Other Theft
405547,Other Theft
301312,Other Theft
503285,Theft from Vehicle
148752,Mischief
540909,Theft from Vehicle
516571,Theft from Vehicle
326646,Other Theft
435607,Other Theft
138243,Mischief
558920,Theft from Vehicle
293286,Other Theft
5213,Break and Enter Commercial
800587,Vehicle Collision or Pedestrian Struck (with Injury)
582930,Theft from Vehicle
690913,Theft from Vehicle
68454,Break and Enter Residential/Other
267171,Offence Against a Person
306170,Other Theft
747273,Theft of Vehicle
254730,Offence Against a Person
712235,Theft of Bicycle
186874,Mischief
606237,Theft from Vehicle
760770,Theft of Vehicle
486826,Theft from Vehicle
700146,Theft from Vehicle
659338,Theft from Vehicle
529197,Theft from Vehicle
551165,Theft from Vehicle
359039,Other Theft
445645,Other Theft
701704,Theft from Vehicle
159172,Mischief
634122,Theft from Vehicle
667093,Theft from Vehicle
263306,Offence Against a Person
363434,Other Theft
660028,Theft from Vehicle
42458,Break and Enter Commercial
485882,Theft from Vehicle
363820,Other Theft
796547,Vehicle Collision or Pedestrian Struck (with Injury)
186148,Mischief
476255,Other Theft
538663,Theft from Vehicle
599485,Theft from Vehicle
436821,Other Theft
148403,Mischief
686087,Theft from Vehicle
711291,Theft of Bicycle
653579,Theft from Vehicle
186922,Mischief
393351,Other Theft
680975,Theft from Vehicle
567554,Theft from Vehicle
695083,Theft from Vehicle
663761,Theft from Vehicle
18253,Break and Enter Commercial
219077,Offence Against a Person
181285,Mischief
355120,Other Theft
361302,Other Theft
129080,Mischief
740046,Theft of Bicycle
182115,Mischief
300614,Other Theft
672393,Theft from Vehicle
127504,Mischief
298710,Other Theft
608608,Theft from Vehicle
364152,Other Theft
729292,Theft of Bicycle
378754,Other Theft
179859,Mischief
32163,Break and Enter Commercial
326358,Other Theft
642629,Theft from Vehicle
571762,Theft from Vehicle
477047,Theft from Vehicle
208125,Mischief
37605,Break and Enter Commercial
705182,Theft from Vehicle
583420,Theft from Vehicle
192560,Mischief
720526,Theft of Bicycle
690642,Theft from Vehicle
226479,Offence Against a Person
595318,Theft from Vehicle
368213,Other Theft
512868,Theft from Vehicle
606244,Theft from Vehicle
711097,Theft of Bicycle
292491,Other Theft
383761,Other Theft
79079,Break and Enter Residential/Other
232162,Offence Against a Person
124280,Mischief
136211,Mischief
529234,Theft from Vehicle
131538,Mischief
476210,Other Theft
418732,Other Theft
441077,Other Theft
183808,Mischief
613159,Theft from Vehicle
173213,Mischief
571918,Theft from Vehicle
544197,Theft from Vehicle
661838,Theft from Vehicle
10067,Break and Enter Commercial
437390,Other Theft
200690,Mischief
643240,Theft from Vehicle
36266,Break and Enter Commercial
40706,Break and Enter Commercial
274816,Offence Against a Person
521679,Theft from Vehicle
264382,Offence Against a Person
637070,Theft from Vehicle
276026,Offence Against a Person
266254,Offence Against a Person
46197,Break and Enter Residential/Other
97910,Break and Enter Residential/Other
180011,Mischief
350601,Other Theft
542901,Theft from Vehicle
120580,Mischief
561723,Theft from Vehicle
177225,Mischief
533466,Theft from Vehicle
575967,Theft from Vehicle
707494,Theft of Bicycle
203194,Mischief
235720,Offence Against a Person
231432,Offence Against a Person
729228,Theft of Bicycle
598641,Theft from Vehicle
139812,Mischief
530394,Theft from Vehicle
197535,Mischief
226627,Offence Against a Person
624263,Theft from Vehicle
228630,Offence Against a Person
136816,Mischief
147989,Mischief
131372,Mischief
300570,Other Theft
574825,Theft from Vehicle
12176,Break and Enter Commercial
707052,Theft of Bicycle
223309,Offence Against a Person
8289,Break and Enter Commercial
576353,Theft from Vehicle
310063,Other Theft
131702,Mischief
205401,Mischief
508663,Theft from Vehicle
416988,Other Theft
456505,Other Theft
400098,Other Theft
565931,Theft from Vehicle
233657,Offence Against a Person
423053,Other Theft
9721,Break and Enter Commercial
241778,Offence Against a Person
159163,Mischief
392263,Other Theft
477043,Theft from Vehicle
342386,Other Theft
118519,Mischief
224106,Offence Against a Person
340117,Other Theft
102665,Break and Enter Residential/Other
737486,Theft of Bicycle
63094,Break and Enter Residential/Other
118436,Mischief
221533,Offence Against a Person
470688,Other Theft
205254,Mischief
483832,Theft from Vehicle
753922,Theft of Vehicle
219838,Offence Against a Person
485807,Theft from Vehicle
236812,Offence Against a Person
489924,Theft from Vehicle
470549,Other Theft
8859,Break and Enter Commercial
387356,Other Theft
334505,Other Theft
402574,Other Theft
139300,Mischief
674629,Theft from Vehicle
729064,Theft of Bicycle
633900,Theft from Vehicle
594836,Theft from Vehicle
240962,Offence Against a Person
683680,Theft from Vehicle
12152,Break and Enter Commercial
146966,Mischief
17950,Break and Enter Commercial
24603,Break and Enter Commercial
746276,Theft of Vehicle
110774,Break and Enter Residential/Other
738376,Theft of Bicycle
245064,Offence Against a Person
512732,Theft from Vehicle
405703,Other Theft
267879,Offence Against a Person
177227,Mischief
654520,Theft from Vehicle
784993,Vehicle Collision or Pedestrian Struck (with Injury)
777889,Theft of Vehicle
166522,Mischief
426891,Other Theft
170287,Mischief
331033,Other Theft
383535,Other Theft
639572,Theft from Vehicle
775063,Theft of Vehicle
705039,Theft from Vehicle
533997,Theft from Vehicle
136224,Mischief
163700,Mischief
267008,Offence Against a Person
213861,Offence Against a Person
334023,Other Theft
451725,Other Theft
375740,Other Theft
451803,Other Theft
505724,Theft from Vehicle
577089,Theft from Vehicle
635755,Theft from Vehicle
642067,Theft from Vehicle
369453,Other Theft
663637,Theft from Vehicle
725481,Theft of Bicycle
499456,Theft from Vehicle
130780,Mischief
656504,Theft from Vehicle
36395,Break and Enter Commercial
719447,Theft of Bicycle
515072,Theft from Vehicle
242523,Offence Against a Person
234671,Offence Against a Person
446512,Other Theft
435618,Other Theft
124059,Mischief
126355,Mischief
80814,Break and Enter Residential/Other
578924,Theft from Vehicle
427497,Other Theft
684246,Theft from Vehicle
404296,Other Theft
705644,Theft of Bicycle
350984,Other Theft
582158,Theft from Vehicle
467752,Other Theft
137170,Mischief
336466,Other Theft
248391,Offence Against a Person
163876,Mischief
53276,Break and Enter Residential/Other
436248,Other Theft
651011,Theft from Vehicle
630891,Theft from Vehicle
115431,Mischief
758984,Theft of Vehicle
635091,Theft from Vehicle
739564,Theft of Bicycle
275397,Offence Against a Person
45704,Break and Enter Residential/Other
86330,Break and Enter Residential/Other
35002,Break and Enter Commercial
122941,Mischief
387285,Other Theft
141717,Mischief
319763,Other Theft
784369,Vehicle Collision or Pedestrian Struck (with Injury)
460860,Other Theft
224551,Offence Against a Person
135683,Mischief
464333,Other Theft
201404,Mischief
276011,Offence Against a Person
484683,Theft from Vehicle
232420,Offence Against a Person
191400,Mischief
606240,Theft from Vehicle
783895,Vehicle Collision or Pedestrian Struck (with Injury)
224636,Offence Against a Person
361307,Other Theft
86427,Break and Enter Residential/Other
164654,Mischief
161777,Mischief
630620,Theft from Vehicle
216147,Offence Against a Person
727963,Theft of Bicycle
7007,Break and Enter Commercial
217817,Offence Against a Person
551225,Theft from Vehicle
640842,Theft from Vehicle
719933,Theft of Bicycle
196132,Mischief
129833,Mischief
792653,Vehicle Collision or Pedestrian Struck (with Injury)
361555,Other Theft
610261,Theft from Vehicle
7134,Break and Enter Commercial
285969,Other Theft
769567,Theft of Vehicle
225362,Offence Against a Person
571687,Theft from Vehicle
168058,Mischief
401469,Other Theft
334864,Other Theft
578142,Theft from Vehicle
177785,Mischief
453416,Other Theft
542998,Theft from Vehicle
46431,Break and Enter Residential/Other
182490,Mischief
548728,Theft from Vehicle
227377,Offence Against a Person
176762,Mischief
354671,Other Theft
130939,Mischief
385120,Other Theft
88828,Break and Enter Residential/Other
674721,Theft from Vehicle
803657,Vehicle Collision or Pedestrian Struck (with Injury)
276352,Offence Against a Person
534613,Theft from Vehicle
615850,Theft from Vehicle
663032,Theft from Vehicle
727092,Theft of Bicycle
134221,Mischief
129363,Mischief
189785,Mischief
436274,Other Theft
730681,Theft of Bicycle
666372,Theft from Vehicle
724061,Theft of Bicycle
289330,Other Theft
329147,Other Theft
340921,Other Theft
134298,Mischief
488800,Theft from Vehicle
320958,Other Theft
126677,Mischief
175162,Mischief
663300,Theft from Vehicle
748993,Theft of Vehicle
361520,Other Theft
642771,Theft from Vehicle
781016,Theft of Vehicle
195937,Mischief
517277,Theft from Vehicle
589800,Theft from Vehicle
196615,Mischief
485779,Theft from Vehicle
255742,Offence Against a Person
134269,Mischief
727623,Theft of Bicycle
340099,Other Theft
13130,Break and Enter Commercial
619580,Theft from Vehicle
90035,Break and Enter Residential/Other
502221,Theft from Vehicle
452897,Other Theft
687749,Theft from Vehicle
411483,Other Theft
568155,Theft from Vehicle
21742,Break and Enter Commercial
805935,Vehicle Collision or Pedestrian Struck (with Injury)
180825,Mischief
323552,Other Theft
227267,Offence Against a Person
279900,Other Theft
531012,Theft from Vehicle
270869,Offence Against a Person
617392,Theft from Vehicle
269549,Offence Against a Person
378195,Other Theft
310398,Other Theft
545797,Theft from Vehicle
392824,Other Theft
96511,Break and Enter Residential/Other
140537,Mischief
603459,Theft from Vehicle
201174,Mischief
21398,Break and Enter Commercial
277959,Offence Against a Person
479795,Theft from Vehicle
528438,Theft from Vehicle
559011,Theft from Vehicle
429592,Other Theft
139002,Mischief
719259,Theft of Bicycle
631496,Theft from Vehicle
287480,Other Theft
321879,Other Theft
341624,Other Theft
201173,Mischief
43529,Break and Enter Commercial
102746,Break and Enter Residential/Other
417465,Other Theft
717311,Theft of Bicycle
587133,Theft from Vehicle
184298,Mischief
437844,Other Theft
120390,Mischief
134007,Mischief
287202,Other Theft
98865,Break and Enter Residential/Other
122645,Mischief
269777,Offence Against a Person
503283,Theft from Vehicle
718037,Theft of Bicycle
56808,Break and Enter Residential/Other
310060,Other Theft
766943,Theft of Vehicle
204513,Mischief
366563,Other Theft
181249,Mischief
794242,Vehicle Collision or Pedestrian Struck (with Injury)
603125,Theft from Vehicle
264847,Offence Against a Person
479750,Theft from Vehicle
787413,Vehicle Collision or Pedestrian Struck (with Injury)
243290,Offence Against a Person
456475,Other Theft
410067,Other Theft
457972,Other Theft
657085,Theft from Vehicle
441189,Other Theft
734608,Theft of Bicycle
339675,Other Theft
209646,Mischief
12109,Break and Enter Commercial
631927,Theft from Vehicle
386746,Other Theft
499929,Theft from Vehicle
263728,Offence Against a Person
136857,Mischief
234408,Offence Against a Person
279394,Offence Against a Person
404228,Other Theft
385071,Other Theft
295129,Other Theft
435614,Other Theft
361229,Other Theft
74740,Break and Enter Residential/Other
65130,Break and Enter Residential/Other
384081,Other Theft
566135,Theft from Vehicle
8403,Break and Enter Commercial
267376,Offence Against a Person
160981,Mischief
728680,Theft of Bicycle
273472,Offence Against a Person
274066,Offence Against a Person
348190,Other Theft
647550,Theft from Vehicle
156920,Mischief
637491,Theft from Vehicle
5933,Break and Enter Commercial
675348,Theft from Vehicle
694255,Theft from Vehicle
39801,Break and Enter Commercial
793401,Vehicle Collision or Pedestrian Struck (with Injury)
321133,Other Theft
484040,Theft from Vehicle
369913,Other Theft
24790,Break and Enter Commercial
502771,Theft from Vehicle
308354,Other Theft
731486,Theft of Bicycle
407620,Other Theft
634674,Theft from Vehicle
244737,Offence Against a Person
93312,Break and Enter Residential/Other
193290,Mischief
503936,Theft from Vehicle
759313,Theft of Vehicle
682602,Theft from Vehicle
119892,Mischief
72806,Break and Enter Residential/Other
231963,Offence Against a Person
804138,Vehicle Collision or Pedestrian Struck (with Injury)
444712,Other Theft
421408,Other Theft
654971,Theft from Vehicle
91989,Break and Enter Residential/Other
764546,Theft of Vehicle
437237,Other Theft
189947,Mischief
322039,Other Theft
469286,Other Theft
737001,Theft of Bicycle
10408,Break and Enter Commercial
319798,Other Theft
791772,Vehicle Collision or Pedestrian Struck (with Injury)
70289,Break and Enter Residential/Other
576591,Theft from Vehicle
386459,Other Theft
219186,Offence Against a Person
328887,Other Theft
587025,Theft from Vehicle
163816,Mischief
429811,Other Theft
177873,Mischief
708026,Theft of Bicycle
213031,Offence Against a Person
395148,Other Theft
492606,Theft from Vehicle
95462,Break and Enter Residential/Other
309438,Other Theft
262572,Offence Against a Person
436281,Other Theft
142879,Mischief
935,Break and Enter Commercial
258233,Offence Against a Person
590048,Theft from Vehicle
197340,Mischief
635722,Theft from Vehicle
439832,Other Theft
444217,Other Theft
591050,Theft from Vehicle
297933,Other Theft
641457,Theft from Vehicle
365744,Other Theft
647553,Theft from Vehicle
407631,Other Theft
689803,Theft from Vehicle
494145,Theft from Vehicle
361226,Other Theft
384810,Other Theft
765745,Theft of Vehicle
550447,Theft from Vehicle
205344,Mischief
730617,Theft of Bicycle
481077,Theft from Vehicle
286924,Other Theft
625036,Theft from Vehicle
133722,Mischief
672458,Theft from Vehicle
423073,Other Theft
172835,Mischief
171156,Mischief
394364,Other Theft
606197,Theft from Vehicle
508396,Theft from Vehicle
438565,Other Theft
53919,Break and Enter Residential/Other
485493,Theft from Vehicle
280142,Other Theft
441240,Other Theft
132628,Mischief
642414,Theft from Vehicle
722897,Theft of Bicycle
635466,Theft from Vehicle
258097,Offence Against a Person
726963,Theft of Bicycle
24563,Break and Enter Commercial
389288,Other Theft
477042,Theft from Vehicle
332404,Other Theft
108550,Break and Enter Residential/Other
165229,Mischief
645696,Theft from Vehicle
18795,Break and Enter Commercial
331819,Other Theft
429608,Other Theft
525575,Theft from Vehicle
279527,Offence Against a Person
599182,Theft from Vehicle
223447,Offence Against a Person
176581,Mischief
759102,Theft of Vehicle
378753,Other Theft
33287,Break and Enter Commercial
335257,Other Theft
335641,Other Theft
195959,Mischief
448627,Other Theft
512924,Theft from Vehicle
47125,Break and Enter Residential/Other
210171,Mischief
217238,Offence Against a Person
385787,Other Theft
500948,Theft from Vehicle
386655,Other Theft
22985,Break and Enter Commercial
410968,Other Theft
609970,Theft from Vehicle
732905,Theft of Bicycle
702464,Theft from Vehicle
424165,Other Theft
765229,Theft of Vehicle
21785,Break and Enter Commercial
407669,Other Theft
367519,Other Theft
510447,Theft from Vehicle
448898,Other Theft
181110,Mischief
267654,Offence Against a Person
192596,Mischief
208071,Mischief
263655,Offence Against a Person
708520,Theft of Bicycle
147073,Mischief
388906,Other Theft
739208,Theft of Bicycle
13672,Break and Enter Commercial
221452,Offence Against a Person
136616,Mischief
625605,Theft from Vehicle
686552,Theft from Vehicle
559525,Theft from Vehicle
512925,Theft from Vehicle
342031,Other Theft
604304,Theft from Vehicle
116588,Mischief
10753,Break and Enter Commercial
128641,Mischief
367503,Other Theft
44804,Break and Enter Residential/Other
574697,Theft from Vehicle
349597,Other Theft
596359,Theft from Vehicle
129212,Mischief
584633,Theft from Vehicle
36738,Break and Enter Commercial
356287,Other Theft
160757,Mischief
115226,Mischief
210763,Offence Against a Person
179108,Mischief
470608,Other Theft
404557,Other Theft
190592,Mischief
602894,Theft from Vehicle
549069,Theft from Vehicle
442983,Other Theft
587247,Theft from Vehicle
138543,Mischief
652158,Theft from Vehicle
180360,Mischief
221471,Offence Against a Person
137629,Mischief
241385,Offence Against a Person
70764,Break and Enter Residential/Other
135849,Mischief
726926,Theft of Bicycle
160929,Mischief
733586,Theft of Bicycle
220145,Offence Against a Person
143988,Mischief
45504,Break and Enter Residential/Other
583056,Theft from Vehicle
723605,Theft of Bicycle
623681,Theft from Vehicle
226798,Offence Against a Person
537603,Theft from Vehicle
276426,Offence Against a Person
383134,Other Theft
597391,Theft from Vehicle
69364,Break and Enter Residential/Other
75065,Break and Enter Residential/Other
518400,Theft from Vehicle
60046,Break and Enter Residential/Other
434419,Other Theft
608565,Theft from Vehicle
304548,Other Theft
30429,Break and Enter Commercial
337343,Other Theft
696839,Theft from Vehicle
102019,Break and Enter Residential/Other
190722,Mischief
607355,Theft from Vehicle
716470,Theft of Bicycle
340095,Other Theft
620778,Theft from Vehicle
442728,Other Theft
197578,Mischief
332183,Other Theft
585159,Theft from Vehicle
361406,Other Theft
55650,Break and Enter Residential/Other
439925,Other Theft
412226,Other Theft
598705,Theft from Vehicle
153737,Mischief
709896,Theft of Bicycle
95882,Break and Enter Residential/Other
405550,Other Theft
691967,Theft from Vehicle
767985,Theft of Vehicle
181112,Mischief
544386,Theft from Vehicle
209193,Mischief
173151,Mischief
88559,Break and Enter Residential/Other
320943,Other Theft
352311,Other Theft
261539,Offence Against a Person
151263,Mischief
519867,Theft from Vehicle
550374,Theft from Vehicle
1896,Break and Enter Commercial
266941,Offence Against a Person
159173,Mischief
799319,Vehicle Collision or Pedestrian Struck (with Injury)
583030,Theft from Vehicle
32684,Break and Enter Commercial
260932,Offence Against a Person
467269,Other Theft
589207,Theft from Vehicle
713047,Theft of Bicycle
370978,Other Theft
13152,Break and Enter Commercial
413292,Other Theft
139003,Mischief
164419,Mischief
137149,Mischief
710209,Theft of Bicycle
597799,Theft from Vehicle
321282,Other Theft
71417,Break and Enter Residential/Other
270594,Offence Against a Person
361243,Other Theft
321648,Other Theft
549764,Theft from Vehicle
444206,Other Theft
270452,Offence Against a Person
495228,Theft from Vehicle
645204,Theft from Vehicle
361261,Other Theft
716370,Theft of Bicycle
465128,Other Theft
245746,Offence Against a Person
801634,Vehicle Collision or Pedestrian Struck (with Injury)
260193,Offence Against a Person
539874,Theft from Vehicle
125685,Mischief
352036,Other Theft
600674,Theft from Vehicle
212754,Offence Against a Person
113234,Break and Enter Residential/Other
290087,Other Theft
201636,Mischief
747836,Theft of Vehicle
587289,Theft from Vehicle
780398,Theft of Vehicle
147627,Mischief
663948,Theft from Vehicle
186491,Mischief
5804,Break and Enter Commercial
30101,Break and Enter Commercial
632561,Theft from Vehicle
667989,Theft from Vehicle
648785,Theft from Vehicle
271661,Offence Against a Person
378511,Other Theft
505475,Theft from Vehicle
323919,Other Theft
359054,Other Theft
343636,Other Theft
173124,Mischief
164732,Mischief
40991,Break and Enter Commercial
551581,Theft from Vehicle
361340,Other Theft
611258,Theft from Vehicle
531445,Theft from Vehicle
296948,Other Theft
730114,Theft of Bicycle
115522,Mischief
103374,Break and Enter Residential/Other
421686,Other Theft
75238,Break and Enter Residential/Other
218969,Offence Against a Person
53123,Break and Enter Residential/Other
580755,Theft from Vehicle
287310,Other Theft
31802,Break and Enter Commercial
444179,Other Theft
73389,Break and Enter Residential/Other
9892,Break and Enter Commercial
400025,Other Theft
118976,Mischief
190232,Mischief
134081,Mischief
101891,Break and Enter Residential/Other
588834,Theft from Vehicle
253984,Offence Against a Person
263918,Offence Against a Person
58264,Break and Enter Residential/Other
632361,Theft from Vehicle
150310,Mischief
600675,Theft from Vehicle
153841,Mischief
557219,Theft from Vehicle
343110,Other Theft
41127,Break and Enter Commercial
212722,Offence Against a Person
588706,Theft from Vehicle
146854,Mischief
720330,Theft of Bicycle
228886,Offence Against a Person
195438,Mischief
311975,Other Theft
247440,Offence Against a Person
545535,Theft from Vehicle
666854,Theft from Vehicle
42668,Break and Enter Commercial
810217,Vehicle Collision or Pedestrian Struck (with Injury)
12067,Break and Enter Commercial
351625,Other Theft
303364,Other Theft
319775,Other Theft
431437,Other Theft
183244,Mischief
635984,Theft from Vehicle
729408,Theft of Bicycle
4503,Break and Enter Commercial
502418,Theft from Vehicle
446187,Other Theft
710061,Theft of Bicycle
361192,Other Theft
156069,Mischief
1581,Break and Enter Commercial
383105,Other Theft
722872,Theft of Bicycle
650847,Theft from Vehicle
591222,Theft from Vehicle
591500,Theft from Vehicle
548396,Theft from Vehicle
629936,Theft from Vehicle
402722,Other Theft
63225,Break and Enter Residential/Other
720710,Theft of Bicycle
501013,Theft from Vehicle
722853,Theft of Bicycle
711460,Theft of Bicycle
36704,Break and Enter Commercial
213212,Offence Against a Person
389625,Other Theft
478629,Theft from Vehicle
506089,Theft from Vehicle
4622,Break and Enter Commercial
26342,Break and Enter Commercial
361382,Other Theft
176388,Mischief
795034,Vehicle Collision or Pedestrian Struck (with Injury)
626813,Theft from Vehicle
704957,Theft from Vehicle
26072,Break and Enter Commercial
571684,Theft from Vehicle
526733,Theft from Vehicle
645664,Theft from Vehicle
436263,Other Theft
205613,Mischief
345698,Other Theft
328360,Other Theft
633971,Theft from Vehicle
325949,Other Theft
683363,Theft from Vehicle
538665,Theft from Vehicle
504275,Theft from Vehicle
217167,Offence Against a Person
462861,Other Theft
730500,Theft of Bicycle
544296,Theft from Vehicle
288211,Other Theft
689873,Theft from Vehicle
498026,Theft from Vehicle
88120,Break and Enter Residential/Other
528858,Theft from Vehicle
167555,Mischief
673109,Theft from Vehicle
683361,Theft from Vehicle
139001,Mischief
193444,Mischief
350816,Other Theft
22350,Break and Enter Commercial
788787,Vehicle Collision or Pedestrian Struck (with Injury)
641529,Theft from Vehicle
738920,Theft of Bicycle
399810,Other Theft
194387,Mischief
261832,Offence Against a Person
92053,Break and Enter Residential/Other
237830,Offence Against a Person
792866,Vehicle Collision or Pedestrian Struck (with Injury)
717161,Theft of Bicycle
216482,Offence Against a Person
723840,Theft of Bicycle
589283,Theft from Vehicle
399476,Other Theft
330328,Other Theft
483398,Theft from Vehicle
442758,Other Theft
15409,Break and Enter Commercial
265949,Offence Against a Person
188996,Mischief
217002,Offence Against a Person
608991,Theft from Vehicle
320993,Other Theft
610730,Theft from Vehicle
520521,Theft from Vehicle
557952,Theft from Vehicle
723430,Theft of Bicycle
366267,Other Theft
236448,Offence Against a Person
411282,Other Theft
298835,Other Theft
370542,Other Theft
13351,Break and Enter Commercial
29010,Break and Enter Commercial
94868,Break and Enter Residential/Other
298027,Other Theft
585659,Theft from Vehicle
440906,Other Theft
40480,Break and Enter Commercial
787723,Vehicle Collision or Pedestrian Struck (with Injury)
740078,Theft of Bicycle
681582,Theft from Vehicle
153684,Mischief
157176,Mischief
740070,Theft of Bicycle
466275,Other Theft
523913,Theft from Vehicle
133404,Mischief
39086,Break and Enter Commercial
114472,Mischief
735416,Theft of Bicycle
319785,Other Theft
668477,Theft from Vehicle
565666,Theft from Vehicle
157533,Mischief
154086,Mischief
38784,Break and Enter Commercial
134857,Mischief
681018,Theft from Vehicle
12728,Break and Enter Commercial
207226,Mischief
279570,Offence Against a Person
594785,Theft from Vehicle
163763,Mischief
786045,Vehicle Collision or Pedestrian Struck (with Injury)
270294,Offence Against a Person
80083,Break and Enter Residential/Other
127068,Mischief
191372,Mischief
771414,Theft of Vehicle
63014,Break and Enter Residential/Other
633915,Theft from Vehicle
301120,Other Theft
340931,Other Theft
185541,Mischief
23666,Break and Enter Commercial
698159,Theft from Vehicle
138650,Mischief
642627,Theft from Vehicle
135687,Mischief
71400,Break and Enter Residential/Other
326385,Other Theft
659332,Theft from Vehicle
211436,Offence Against a Person
208293,Mischief
533082,Theft from Vehicle
523915,Theft from Vehicle
355590,Other Theft
426325,Other Theft
116276,Mischief
133054,Mischief
562726,Theft from Vehicle
383534,Other Theft
375827,Other Theft
143154,Mischief
361398,Other Theft
12762,Break and Enter Commercial
319786,Other Theft
42876,Break and Enter Commercial
678506,Theft from Vehicle
710325,Theft of Bicycle
16147,Break and Enter Commercial
145513,Mischief
508647,Theft from Vehicle
620779,Theft from Vehicle
562091,Theft from Vehicle
675485,Theft from Vehicle
361391,Other Theft
540371,Theft from Vehicle
644219,Theft from Vehicle
168495,Mischief
509837,Theft from Vehicle
525879,Theft from Vehicle
38958,Break and Enter Commercial
246335,Offence Against a Person
536133,Theft from Vehicle
713270,Theft of Bicycle
89626,Break and Enter Residential/Other
386458,Other Theft
430232,Other Theft
452909,Other Theft
645449,Theft from Vehicle
408558,Other Theft
138752,Mischief
397857,Other Theft
35644,Break and Enter Commercial
745620,Theft of Vehicle
161229,Mischief
778191,Theft of Vehicle
702074,Theft from Vehicle
654606,Theft from Vehicle
576272,Theft from Vehicle
498618,Theft from Vehicle
651705,Theft from Vehicle
709244,Theft of Bicycle
293288,Other Theft
505367,Theft from Vehicle
560527,Theft from Vehicle
467852,Other Theft
131784,Mischief
139307,Mischief
51173,Break and Enter Residential/Other
67458,Break and Enter Residential/Other
87123,Break and Enter Residential/Other
402210,Other Theft
654625,Theft from Vehicle
1314,Break and Enter Commercial
446249,Other Theft
119191,Mischief
333027,Other Theft
646620,Theft from Vehicle
159519,Mischief
802633,Vehicle Collision or Pedestrian Struck (with Injury)
279745,Other Theft
231269,Offence Against a Person
